Sector: ,SCC: ,SCC Descriptions: ,NH3 (kg) Emissions,NOX (kg) Emissions,PM25-PRI (kg) Emissions,PM2_5 (kg) Emissions,SO2 (kg) Emissions,VOC (kg) Emissions,Deaths from NH3 to TotalPop,Deaths from NOX to TotalPop,Deaths from PM25-PRI to TotalPop,Deaths from PM2_5 to TotalPop,Deaths from SO2 to TotalPop,Deaths from VOC to TotalPop,Deaths from NH3 to WhiteNoLat,Deaths from NOX to WhiteNoLat,Deaths from PM25-PRI to WhiteNoLat,Deaths from PM2_5 to WhiteNoLat,Deaths from SO2 to WhiteNoLat,Deaths from VOC to WhiteNoLat,Deaths from NH3 to Black,Deaths from NOX to Black,Deaths from PM25-PRI to Black,Deaths from PM2_5 to Black,Deaths from SO2 to Black,Deaths from VOC to Black,Deaths from NH3 to Native,Deaths from NOX to Native,Deaths from PM25-PRI to Native,Deaths from PM2_5 to Native,Deaths from SO2 to Native,Deaths from VOC to Native,Deaths from NH3 to Asian,Deaths from NOX to Asian,Deaths from PM25-PRI to Asian,Deaths from PM2_5 to Asian,Deaths from SO2 to Asian,Deaths from VOC to Asian,Deaths from NH3 to Other,Deaths from NOX to Other,Deaths from PM25-PRI to Other,Deaths from PM2_5 to Other,Deaths from SO2 to Other,Deaths from VOC to Other,Deaths from NH3 to Latino,Deaths from NOX to Latino,Deaths from PM25-PRI to Latino,Deaths from PM2_5 to Latino,Deaths from SO2 to Latino,Deaths from VOC to Latino,Deaths from NH3 to Poverty,Deaths from NOX to Poverty,Deaths from PM25-PRI to Poverty,Deaths from PM2_5 to Poverty,Deaths from SO2 to Poverty,Deaths from VOC to Poverty,Deaths from NH3 to TwoXPov,Deaths from NOX to TwoXPov,Deaths from PM25-PRI to TwoXPov,Deaths from PM2_5 to TwoXPov,Deaths from SO2 to TwoXPov,Deaths from VOC to TwoXPov
afdust,2325000000,"""Industrial Processes;Mining and Quarrying: SIC 14;All Processes;Total""",,,52667018.7376173,,,,0,0,561.2083109566,0,0,0,0,0,355.1387654748,0,0,0,0,0,90.0259485877,0,0,0,0,0,3.6170100888,0,0,0,0,0,21.6969192119,0,0,0,0,0,11.7860900119,0,0,0,0,0,78.9435775664,0,0,0,0,0,85.5468716919,0,0,0,0,0,355.1348850873,0,0,0
afdust,2801000000,"""Miscellaneous Area Sources;Agriculture Production - Crops;Agriculture - Crops;Total""",,,93598.6256763269,,,,0,0,0.8949010418,0,0,0,0,0,0.5089618718,0,0,0,0,0,0.2095601723,0,0,0,0,0,0.0072375197,0,0,0,0,0,0.0175017317,0,0,0,0,0,0.0143414342,0,0,0,0,0,0.13729831,0,0,0,0,0,0.170296697,0,0,0,0,0,0.5068598565,0,0,0
afdust,2805001000,"""Miscellaneous Area Sources;Agriculture Production - Livestock;Beef cattle -  finishing operations on feedlots (drylots);Dust Kicked-up by Hooves (use 28-05-020""",,,1593660.91590003,,,,0,0,18.3428994354,0,0,0,0,0,11.3619570363,0,0,0,0,0,4.9657999194,0,0,0,0,0,0.0480929012,0,0,0,0,0,0.3863402237,0,0,0,0,0,0.3032353802,0,0,0,0,0,1.2774739535,0,0,0,0,0,3.2642487031,0,0,0,0,0,10.7107101424,0,0,0
afdust,2325020000,"""Industrial Processes;Mining and Quarrying: SIC 14;Crushed and Broken Stone;Total""",,,154454.71447905,,,,0,0,4.491529227,0,0,0,0,0,2.801223948,0,0,0,0,0,0.5696978842,0,0,0,0,0,0.0060626893,0,0,0,0,0,0.3165592433,0,0,0,0,0,0.0812035335,0,0,0,0,0,0.7167819381,0,0,0,0,0,0.5085121403,0,0,0,0,0,3.2483669307,0,0,0
afdust,2275085000,"""Mobile Sources;Aircraft;Unpaved Airstrips;Total""",,,1027.157494695,,,,0,0,0.0086918931,0,0,0,0,0,0.0050105006,0,0,0,0,0,0.0029458568,0,0,0,0,0,0.000019833,0,0,0,0,0,0.0001278323,0,0,0,0,0,0.0001343927,0,0,0,0,0,0.0004534778,0,0,0,0,0,0.0017256665,0,0,0,0,0,0.0047321128,0,0,0
afdust,2311020000,"""Industrial Processes;Construction: SIC 15 - 17;Industrial/Commercial/Institutional;Total""",,,62553373.3021833,,,,0,0,2576.8971330281,0,0,0,0,0,1412.7112716267,0,0,0,0,0,481.6569878317,0,0,0,0,0,10.4775175058,0,0,0,0,0,133.2702814966,0,0,0,0,0,57.0881054139,0,0,0,0,0,481.6929706476,0,0,0,0,0,423.3021127572,0,0,0,0,0,1617.7857497905,0,0,0
afdust,2294000000,"""Mobile Sources;Paved Roads;All Paved Roads;Total: Fugitives""",,,46946552.0090835,212679525.883949,,,0,0,1492.5531780801,4525.8131783351,0,0,0,0,728.6332047176,2764.1987805861,0,0,0,0,224.619157939,817.9245253964,0,0,0,0,5.5454984874,16.9545401603,0,0,0,0,126.4147603025,176.3489923795,0,0,0,0,37.9269954627,89.3031113591,0,0,0,0,369.4135619755,661.0832294985,0,0,0,0,225.6114643165,720.352201823,0,0,0,0,966.468390992,2850.8358126616,0,0
afdust,2801000002,"""Miscellaneous Area Sources;Agriculture Production - Crops;Agriculture - Crops;Planting""",,,818834.25285,,,,0,0,4.1213970258,0,0,0,0,0,3.1146226514,0,0,0,0,0,0.241861005,0,0,0,0,0,0.0291903591,0,0,0,0,0,0.0948187508,0,0,0,0,0,0.0971663298,0,0,0,0,0,0.5437379337,0,0,0,0,0,0.5312232626,0,0,0,0,0,2.7294646645,0,0,0
afdust,2801000008,"""Miscellaneous Area Sources;Agriculture Production - Crops;Agriculture - Crops;Transport""",,,180298.482825,,,,0,0,4.0489603603,0,0,0,0,0,2.1007547435,0,0,0,0,0,0.2379394917,0,0,0,0,0,0.0728368929,0,0,0,0,0,0.1335433559,0,0,0,0,0,0.0837561899,0,0,0,0,0,1.4201296785,0,0,0,0,0,0.6822256111,0,0,0,0,0,2.4825982801,0,0,0
afdust,2296000000,"""Mobile Sources;Unpaved Roads;All Unpaved Roads;Total: Fugitives""",,,58687171.6037271,929537613.354502,,,0,0,679.6273910971,10855.7202387106,0,0,0,0,454.8576359887,7359.7705074951,0,0,0,0,76.0846345965,1614.2064456973,0,0,0,0,3.6648751039,76.3506721147,0,0,0,0,26.6220727279,292.8953722321,0,0,0,0,16.189098731,221.9814024218,0,0,0,0,102.2090741606,1290.5158379045,0,0,0,0,97.6279985735,1660.6451448416,0,0,0,0,440.7790245988,6851.2196867678,0,0
