Sector: ,SCC: ,SCC Descriptions: ,NH3 (kg) Emissions,NOX (kg) Emissions,PM25-PRI (kg) Emissions,SO2 (kg) Emissions,VOC (kg) Emissions,Deaths from NH3 to TotalPop,Deaths from NOX to TotalPop,Deaths from PM25-PRI to TotalPop,Deaths from SO2 to TotalPop,Deaths from VOC to TotalPop,Deaths from NH3 to WhiteNoLat,Deaths from NOX to WhiteNoLat,Deaths from PM25-PRI to WhiteNoLat,Deaths from SO2 to WhiteNoLat,Deaths from VOC to WhiteNoLat,Deaths from NH3 to Black,Deaths from NOX to Black,Deaths from PM25-PRI to Black,Deaths from SO2 to Black,Deaths from VOC to Black,Deaths from NH3 to Native,Deaths from NOX to Native,Deaths from PM25-PRI to Native,Deaths from SO2 to Native,Deaths from VOC to Native,Deaths from NH3 to Asian,Deaths from NOX to Asian,Deaths from PM25-PRI to Asian,Deaths from SO2 to Asian,Deaths from VOC to Asian,Deaths from NH3 to Other,Deaths from NOX to Other,Deaths from PM25-PRI to Other,Deaths from SO2 to Other,Deaths from VOC to Other,Deaths from NH3 to Latino,Deaths from NOX to Latino,Deaths from PM25-PRI to Latino,Deaths from SO2 to Latino,Deaths from VOC to Latino,Deaths from NH3 to Poverty,Deaths from NOX to Poverty,Deaths from PM25-PRI to Poverty,Deaths from SO2 to Poverty,Deaths from VOC to Poverty,Deaths from NH3 to TwoXPov,Deaths from NOX to TwoXPov,Deaths from PM25-PRI to TwoXPov,Deaths from SO2 to TwoXPov,Deaths from VOC to TwoXPov
c3marine,2280003100,"""Mobile Sources;Marine Vessels""",173.2692233555,182796.870315,15614.9762436,124935.8126922,6075.00789738,0.4287638686,104.1525421942,141.7593615101,130.6878625725,3.1873959536,0.1906546339,44.8477821195,61.1477748132,65.5536750023,1.3451510389,0.0663995491,16.9232173405,27.7128567495,21.2182965276,0.611857215,0.0012575551,0.3613171659,0.3958390475,0.4400382042,0.0093977126,0.0358573272,8.3236736294,9.5826093247,7.8927397906,0.2106021635,0.0094555449,2.3131601803,3.1305215422,2.4598046598,0.066689014,0.1251392587,31.3833917873,39.7897599822,33.1233083074,0.9436988082,0.0649931471,17.8751441698,24.922059436,20.4847105359,0.5737539933,0.2716802968,62.9559502003,85.304683485,81.6221159442,1.8905360235
c3marine,2280003200,"""Mobile Sources;Marine Vessels""",38.0391186246,209332.376204581,7289.5352458973,63169.5463583175,8325.0463268685,0.1454238767,56.7873919903,82.7987022347,93.5370573606,1.6263824,0.0745304041,33.6053460886,39.6391455312,54.3055348868,0.8281325721,0.0224654784,8.6019618238,13.8501846173,14.0291813452,0.2606468765,0.0003426227,0.1989438547,0.1690667783,0.2874484568,0.0039134903,0.0058819497,2.9554460853,4.176433996,3.5508941578,0.0648762261,0.0025053869,1.0908973523,1.4334159699,1.7448100592,0.0270359268,0.039698035,10.3347967912,23.5304553014,19.6191884198,0.4417773077,0.0208019967,8.2982552659,13.3698951691,13.1565761073,0.2616442012,0.094789377,37.0839716869,52.1029014118,61.217663063,1.0193783977
c3marine,2280004000,"""Mobile Sources;Marine Vessels""",,0,0,0,0,0,0.0046863309,0.0082565029,0.0001728508,0.0080634198,0,0.0033809367,0.0055999063,0.0001242233,0.0056249287,0,0.0002199144,0.0004805835,9.00378791310722E-06,0.0004234821,0,5.02864095438208E-05,0.000061859,1.89925714918569E-06,6.73542935150146E-05,0,0.0004301947,0.0010009732,1.51981397780979E-05,0.0008838821,0,0.0002125851,0.0004210464,7.26061544868422E-06,0.0004027212,0,0.0003924136,0.0006921345,1.52657381609453E-05,0.0006610513,0,0.0005525309,0.000987413,0.000020639,0.0009412889,0,0.0033503966,0.0059843495,0.0001229692,0.0058539044
np_oilgas,2310023302,"""Industrial Processes;Oil and Gas Exploration and Production;Coal Bed Methane Natural Gas;CBM Fired 4Cycle Rich Burn Compressor Engines 50 To 499 HP""",,0,0,0,0,0,18.0336338162,1.6952674159,0.0178850362,0.1109006353,0,12.8646839561,1.0735170779,0.0121357811,0.0735240925,0,3.4975219133,0.4627069843,0.0039990188,0.026904797,0,0.1552779114,0.0149851463,9.69817763140432E-05,0.0014209609,0,0.2292204861,0.0264847373,0.0003200193,0.0013723073,0,0.3128748258,0.0258072027,0.0003089086,0.0016504718,0,0.9740547468,0.0917662716,0.0010243267,0.0060280061,0,3.1484271848,0.3104365045,0.0030028104,0.0205498331,0,10.558702848,0.9834036456,0.0107755619,0.0635154281
np_oilgas,2310022051,"""Industrial Processes;Oil and Gas Exploration and Production;Off-Shore Gas Production;Turbines: Natural Gas""",,119.13879168,0.7081032518,1.3027448756,0.7816487397,0,0.0081750021,0.0005345712,0.0003141347,3.21916011316813E-05,0,0.0041856216,0.0002201004,0.0001452328,1.36481851768023E-05,0,0.0013468204,0.0001097984,4.75373699852964E-05,6.27586557574671E-06,0,0.000042514,1.64076137765003E-06,0.000001258,9.1552921264637E-08,0,0.0002828853,2.02237742604811E-05,1.31041935404007E-05,1.07477949594692E-06,0,0.0001289917,7.250390045074E-06,4.84744697362541E-06,4.13875619970571E-07,0,0.0021881692,0.0001755575,0.0001021549,1.06873423200674E-05,0,0.0012820031,9.51483422974646E-05,0.000051916,5.61886474899475E-06,0,0.00496364,0.0003098908,0.0001897307,1.87033957311914E-05
np_oilgas,2310023603,"""Industrial Processes;Oil and Gas Exploration and Production;Coal Bed Methane Natural Gas;Venting - Blowdowns""",,0,0,0,1629.83949915,0,0,0,0,2.2136415554,0,0,0,0,1.6568248122,0,0,0,0,0.1280074525,0,0,0,0,0.024786947,0,0,0,0,0.0382568045,0,0,0,0,0.0545688024,0,0,0,0,0.3111967322,0,0,0,0,0.3018373984,0,0,0,0,1.4336600542
np_oilgas,2310021030,"""Industrial Processes;Oil and Gas Exploration and Production;On-Shore Gas Production;Tank Truck/Railcar Loading: Condensate""",,,,,0,0,0,0,0,8.0646180197,0,0,0,0,4.4571456401,0,0,0,0,0.9159034436,0,0,0,0,0.0941740731,0,0,0,0,0.1821300328,0,0,0,0,0.1723238151,0,0,0,0,2.2429410085,0,0,0,0,1.4258076349,0,0,0,0,4.7082086677
np_oilgas,2310021202,"""Industrial Processes;Oil and Gas Exploration and Production;On-Shore Gas Production;Natural Gas Fired 4Cycle Lean Burn Compressor Engines 50 To 499 HP""",,0,0,0,0,0,31.3443408953,2.1653816991,0.0558265149,1.1709168201,0,23.6408683186,1.5450990658,0.0395152027,0.8534729788,0,4.0753162974,0.3503536441,0.0094303633,0.1785694692,0,0.4174058184,0.0254886798,0.0004179773,0.0177552541,0,0.4618413646,0.0412751058,0.0012176177,0.0160135607,0,0.7778805573,0.0515053198,0.0011973961,0.0279112303,0,1.9710285584,0.1516598846,0.0040479577,0.0771943275,0,5.148793826,0.3593360119,0.0087861852,0.2034304981,0,18.7750112632,1.3108397795,0.0345668754,0.687359172
np_oilgas,2310021010,"""Industrial Processes;Oil and Gas Exploration and Production;On-Shore Gas Production;Storage Tanks: Condensate""",,0,,0,0,0,0.6621697646,0,0.0496132005,176.8178254399,0,0.5180103506,0,0.0368002604,91.4871229053,0,0.0616470882,0,0.0057617418,23.2764452058,0,0.008272887,0,0.0002887282,1.3937740755,0,0.0115033417,0,0.0015770613,4.453446034,0,0.0152169287,0,0.00092149,3.0053375788,0,0.0475191686,0,0.0042639188,53.2016994238,0,0.0946302484,0,0.0066926038,31.7396947021,0,0.4189677701,0,0.032995821,102.9835963396
np_oilgas,2310023516,"""Industrial Processes;Oil and Gas Exploration and Production;Coal Bed Methane Natural Gas;Fugitives:  Other""",,,,,0,0,0,0,0,1.3098556986,0,0,0,0,0.8652834837,0,0,0,0,0.3547038219,0,0,0,0,0.0064916546,0,0,0,0,0.0164700877,0,0,0,0,0.0174122274,0,0,0,0,0.0494944257,0,0,0,0,0.2480666308,0,0,0,0,0.7433679024
