Group,File,100027 (kg),100414 (kg),100425 (kg),100447 (kg),101144 (kg),101688 (kg),101779 (kg),106423 (kg),106445 (kg),106467 (kg),106503 (kg),106514 (kg),106887 (kg),106898 (kg),106934 (kg),106990 (kg),107028 (kg),107051 (kg),107062 (kg),107131 (kg),107211 (kg),107302 (kg),108054 (kg),108101 (kg),108316 (kg),108383 (kg),108394 (kg),108883 (kg),108907 (kg),108952 (kg),109864 (kg),110496 (kg),110543 (kg),110714 (kg),110805 (kg),111159 (kg),111422 (kg),111444 (kg),111773 (kg),111900 (kg),111966 (kg),1120714 (kg),112072 (kg),112152 (kg),112254 (kg),112276 (kg),112345 (kg),112356 (kg),112367 (kg),112492 (kg),112594 (kg),114261 (kg),117817 (kg),118741 (kg),119904 (kg),119937 (kg),120127 (kg),120809 (kg),120821 (kg),121142 (kg),121448 (kg),121697 (kg),122667 (kg),122996 (kg),123319 (kg),123386 (kg),123911 (kg),124174 (kg),126998 (kg),127184 (kg),129000 (kg),130498292 (kg),131113 (kg),1313991 (kg),1319773 (kg),132649 (kg),1330207 (kg),133062 (kg),1332214 (kg),1333820 (kg),1336363 (kg),133904 (kg),140 (kg),140885 (kg),143226 (kg),151564 (kg),156627 (kg),1582098 (kg),16065831 (kg),1634044 (kg),16672392 (kg),171 (kg),1746016 (kg),18540299 (kg),189559 (kg),189640 (kg),191242 (kg),191300 (kg),192654 (kg),192972 (kg),193395 (kg),19408743 (kg),194592 (kg),198550 (kg),200 (kg),201 (kg),202 (kg),203123 (kg),203338 (kg),2050682 (kg),2051243 (kg),2051607 (kg),205823 (kg),205992 (kg),206440 (kg),20706256 (kg),207089 (kg),208968 (kg),218019 (kg),224420 (kg),226368 (kg),2422799 (kg),250 (kg),25429292 (kg),26601649 (kg),26914181 (kg),26914330 (kg),2807309 (kg),284 (kg),28655712 (kg),302012 (kg),3268879 (kg),334883 (kg),35822469 (kg),3697243 (kg),383 (kg),39001020 (kg),39227286 (kg),40321764 (kg),41637905 (kg),463581 (kg),50000 (kg),50328 (kg),510156 (kg),51207319 (kg),51285 (kg),51796 (kg),532274 (kg),534521 (kg),53703 (kg),53963 (kg),540841 (kg),540885 (kg),542756 (kg),542881 (kg),5522430 (kg),55673897 (kg),56235 (kg),56382 (kg),56495 (kg),56553 (kg),56832736 (kg),57117314 (kg),57117416 (kg),57117449 (kg),57125 (kg),57147 (kg),57578 (kg),57653857 (kg),57749 (kg),57976 (kg),584849 (kg),58899 (kg),593602 (kg),59892 (kg),60117 (kg),60344 (kg),60355 (kg),604 (kg),60851345 (kg),616 (kg),617 (kg),624839 (kg),62533 (kg),62737 (kg),62759 (kg),63252 (kg),64675 (kg),67425 (kg),67561 (kg),67562394 (kg),67663 (kg),67721 (kg),680319 (kg),68122 (kg),684935 (kg),7012375 (kg),70648269 (kg),71432 (kg),71556 (kg),72435 (kg),72918219 (kg),7439921 (kg),7439965 (kg),7439976 (kg),7440020 (kg),7440360 (kg),7440382 (kg),7440417 (kg),7440439 (kg),7440473 (kg),7440484 (kg),74839 (kg),74873 (kg),74884 (kg),74908 (kg),75003 (kg),75014 (kg),75058 (kg),75070 (kg),75092 (kg),75150 (kg),75218 (kg),75252 (kg),75343 (kg),75354 (kg),75445 (kg),7550450 (kg),75558 (kg),75569 (kg),76448 (kg),7647010 (kg),7664393 (kg),7723140 (kg),7738945 (kg),77474 (kg),77781 (kg),7782492 (kg),7782505 (kg),7783064 (kg),779022 (kg),7795917 (kg),7803512 (kg),78591 (kg),78875 (kg),79005 (kg),79016 (kg),79061 (kg),79107 (kg),79118 (kg),79345 (kg),79447 (kg),79469 (kg),8001352 (kg),8007452 (kg),80626 (kg),822060 (kg),82688 (kg),832699 (kg),83329 (kg),84742 (kg),85018 (kg),85449 (kg),86737 (kg),86748 (kg),87683 (kg),87865 (kg),88062 (kg),90040 (kg),90120 (kg),91203 (kg),91225 (kg),91576 (kg),91587 (kg),91941 (kg),92524 (kg),92671 (kg),92875 (kg),92933 (kg),94757 (kg),95476 (kg),95487 (kg),95534 (kg),95807 (kg),95954 (kg),96093 (kg),96128 (kg),96457 (kg),98077 (kg),98828 (kg),98862 (kg),98953 (kg),ALD2 (kg),ALDX (kg),CH4 (kg),CO (kg),CO2 (kg),ETH (kg),ETHA (kg),ETOH (kg),FORM (kg),IOLE (kg),ISOP (kg),MEOH (kg),N2O (kg),NVOL (kg),OLE (kg),PAR (kg),PM-CON (kg),PM10 (kg),PM10-FIL (kg),PM10-PRI (kg),PM25-FIL (kg),TERP (kg),TOL (kg),UNR (kg),XYL (kg)
ag,/home/mkelp/nei2011Dir/2011eh_cb05_v6_11g/inputs/ag/ag_2011NEIv2_NONPOINT_20141108_04feb2015_v3.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
othafdust,/home/mkelp/nei2011Dir/2011eh_cb05_v6_11g/inputs/othafdust/afdust_canada_2010_FF10_20130606_05aug2014_v0.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.460166514027182e+09,,,,,,,
nonroad,/home/mkelp/nei2011Dir/2011eh_cb05_v6_11g/inputs/nonroad/nonroad_ff10_california_2011nei_augmented_VOC_11sep2013_v7.csv,,37015.29547834042,84934.39772980748,,,,,33930.692088593336,,,,,,,,518879.8367445846,167231.13471136117,,,,,,,,,2.7982560400157743e+06,,524383.4975475877,,,,,820148.5751181372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195192.45020419706,,,,,,4148.930984817736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5834423097931636e+06,,,,,,,,,,1.2550863762773254e+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111045.887716919,,,,,1214.9887925634964,26.143447197945193,5936.243739521598,,8.714482249772646,,,2279.3808477983653,,,,,,,,,1.4763466733001191e+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155192.01208055223,,,,,,,,,,40099.89957608444,,,,,,,,,,,,,,,7.447498413595706e+08,,,,,,,,,,,,,,,,7.433269443004842e+06,,,,,
nonroad,/home/mkelp/nei2011Dir/2011eh_cb05_v6_11g/inputs/nonroad/2011_SLT_nonroad_01feb2013_Texas_monthly_ff10_07feb2014_v3.csv,,1.0635327613408645e+06,58902.97781958183,,,,,,,,,,,,,208485.86466981788,21770.380722698654,,,,,,,,,,,4.461661385920229e+06,,,,,341364.69884877326,,,,,,,,,,,,,,,,,,,,,,,,419.30343216398165,,,,,,,,,40560.06037057377,,,,,1060.4188598950382,,,,,,4.862464175859898e+06,,,,,,,,,,,,22.20323932625056,,,,,11.438033122975517,,,313.92699454249436,,,,95.4483606635609,,,,0.6375497314096661,0.1119366160069562,0.0344658273906488,,,,,,,75.99673035011745,986.2192195383385,,70.77579550875794,2335.045072444211,92.51607103353028,,,,,,,,,,,,,,,,,,,,,,,323197.0047500069,93.13526001178083,,,,,,,1.9660353406225348,,2.0069932174506919e+06,,,,,,,,,106.28361743481923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368130.46105531766,,,,,50.976594921946464,,83.29755698325295,,351.3969545989734,,,,,,,,,,,,122684.12149906076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1209.3174938126283,,3752.786216941279,,1930.4858163197346,,,,,,,39631.67822952204,,,,,,,,,,,,,,,,,,,,,,,,,7.349387519704275e+08,1.9712801518324844e+10,,,,,,,,,,,,,,,1.2023997208396418e+07,,,,,
nonroad,/home/mkelp/nei2011Dir/2011eh_cb05_v6_11g/inputs/nonroad/2011NEIv1_nonroad_20130621_17oct2014_v6_part1.csv,,203611.59878884206,743711.2586133566,,,,,,,,,,,,,2.088728719649192e+06,382432.34077923564,,,,,,,,,,,6.399527777951828e+07,,,,,1.8312385124699979e+06,,,,,,,,,,,,,,,,,,,,,,,,3996.91950992314,,,,,,,,,1.0213321176338799e+06,,,,,10739.596258557216,,,,,,545899.3578616201,,,,,,,,,,,,226.94833864370318,,,,1.3391849406323585e-05,116.91278208747839,,,3308.3470739297286,,,,1003.7998395199281,5.5973460845378176e-05,,,6.4612745313994,0.9522181951286413,0.23583258659180817,,,,,,,726.7286148626936,9300.493824990015,,676.6533784854327,17702.01814426675,841.5844516751746,,,,,,,,,,,,,0.0017036715462001649,,0.0003668113381461841,,,0.00012194603390513953,1.5652010121247182e-05,1.1169117075633414e-05,,,9.95554928526474e+06,944.6215638132741,,3.408749048631301e-05,,,,,21.944530813782887,,2.620631311607519e+06,,,,,1.1708201287208774e-05,,,,1070.270593254583,,2.9422190689156608e-05,1.3696982287104235e-05,2.2838132945005127e-05,,,,3.070545799792305e-05,,,,,,,,,,,3.29394100304244e-05,,,,,,,,,,,0.00010689990338705872,,,,,,,4.942606134591164e-05,1.4080946746415593e+07,,,1.311645207063026e-05,,287.7282147561382,,506.02758642788916,,2806.6465528077424,,,,,,,,,,,,4.911066766685279e+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6813.88427457383,,24039.487324903577,,14291.64561149339,,,,,,,289828.016448207,,,,,,,,,,,,,,,,,,,,,,,,,6.108211561620203e+09,1.0138391845821834e+11,,,,,,,,,,,,,,,7.155609767438892e+07,,,,,
nonroad,/home/mkelp/nei2011Dir/2011eh_cb05_v6_11g/inputs/nonroad/2011NEIv1_nonroad_20130621_17oct2014_v6_part2.csv,,566819.2665624229,603067.9273995922,,,,,,,,,,,,,1.8057576239108134e+06,317254.58030785824,,,,,,,,,,,830988.6401085599,,,,,5.720507910661624e+06,,,,,,,,,,,,,,,,,,,,,,,,3490.5004496104857,,,,,,,,,840305.264073561,,,,,9210.911949978175,,,,,,4.0072610603708416e+07,,,,,,,,,,,,189.64724769947432,,,,,97.6970683297807,,,2819.6532554975543,,,,855.6549104919866,,,,5.365727327963604,0.7770783876211075,0.18732360935977074,,,,,,,628.3717968676599,7921.382420464116,,586.5921084426312,15348.136425004734,718.8361247022348,,,,,,,,,,,,,,,,,,,,,,,8.15445461724312e+06,808.542264912137,,,,,,,18.42804938271292,,2.3903268570259202e+07,,,,,,,,,913.3583386300281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5876330835879934e+06,,,,,232.52466272341104,,411.1439842742099,,2285.0589809574512,,,,,,,,,,,,3.961715008532209e+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5635.413266525814,,20064.982632869123,,12039.757148654282,,,,,,,256815.91787342483,,,,,,,,,,,,,,,,,,,,,,,,,5.335093794368888e+09,8.238210669197621e+10,,,,,,,,,,,,,,,5.830426766042238e+07,,,,,
ptegu,/home/mkelp/nei2011Dir/2011eh_cb05_v6_11g/inputs/ptegu/2011NEIv2_POINT_ptegu_NOV_2014_29jan2015_v1.csv,27.23845551524434,120720.44457671246,94672.152196976,253007.2806796619,,,0.606725328,28.533608158349995,823.1006350427992,1102.2227552804866,,,0.573703794,,3479.6255108709624,1985.4055738433667,266924.22345211514,8777.522141100522,20382.48528048949,1.8458493195,16356.726987,,11237.943193921914,3659.373342271947,,78.91758622975499,99.98745408494999,455570.2269118014,11124.137205797064,29074.52592896403,0,,893769.0140559691,,,,0.4535925,563.4142658619,,,,,,,,,,0.06441013500000001,,,,,34131.56129774098,35.85035981607299,0.6876462299999999,0.3235928895,123.34549980698172,,1305.5679581592753,301.33557550815607,,0.5662648769999999,,,1.0516995704999998,145466.32659910244,,,,20995.349151514725,164.22631025580975,6190.252924523878,92.08251025374747,,16304.45000685435,565.3472972384019,185156.75840428844,,0.09042366487499999,,213.97436359580328,,,4.0160354202,,,1088.6219999999998,1.7593945889999998,160379.94719711127,14298.69442868566,,29991.5361,,22271.811096325226,,0.0517118129625,484.5818158957708,,,0.11576933320018455,17.883378215303168,,0.193786509405,0.49251087534843796,,,,,,,1.5854561515993802e-05,0.0012918857395581751,0.29732593858387196,5.033706341912977,1449.192136449031,,2.2225761246650593,172.00647475093132,619.277766740733,0.00365456937132,6.23780406e-05,,9314.5763516758,0.007046279022185399,0.0032295333641271596,,0.017084763134366254,,,3.875679748614e-06,4.5359249999999996e-08,,,,5.258824525318862,,,,,,38.101769999999995,1.7948607421669979e+06,634.2854648102661,,,55.86625306340436,,2963.259215795978,,1.2809445044109369,,553.4917121999999,,503.6906395000499,,,,2324.9884622602617,,0.5659034529773727,767.1775470310121,2.599835489217404,,,,1.0079179967776453e+06,,,,,4.928958431613012,,,64.67738262914999,1.7959450726499997,0.5258044259999999,72670.80607984496,,,,,,,0.5662648769999999,,66.01115323169999,,,,371311.35800711246,,29978.85199886752,1.6726132719,,,,0.015267164081933552,,620501.1417407254,3901.016423436128,,,35515.14554431247,162939.87367004433,26359.65963037246,205103.86308867452,6741.873835878412,41952.74504121508,1919.9290202024288,4399.418716893966,,8999.35546877767,61025.092536229036,200346.00678113158,1847.5017705852754,22047.451318379983,25885.631292386453,1785.8131231179252,17.826185249999998,736326.21359305,132612.19412264394,50019.580276933506,4.413455025,20105.941016364006,582.5796512166748,370.16985392550004,,,,62010.26985298984,,6.662428470539223e+07,1.8354076252137527e+07,53070.26594127005,36.714253222125,13.22807271825,23529.221264581527,178375.48780716982,117871.79161837159,1496.0387835,,,,214786.10277844584,1653.6886063703953,274.36730774849997,1451.9903171867743,,,6.726776774999999,28.740527985,,,,,8173.583206880433,,3.0735427799999995,,163.40577961765857,448.31023707564736,2920.8515864643464,216.26573723849998,773.8547864302382,11.726808549149998,0.0282134535,25.0311938853286,1.5963944911919994,0.9909181754999998,,19977.72619415489,2.115119064015,15.962700778298233,6.534118223762558,17.554029749999998,15656.932654117303,0.34382311499999996,5.092886694824999,0.7077857369999999,,3683.702223903921,64.67603999535,0.6269555535,,1.0831153870499999,,2.392246845,,,6802.783399510643,17528.85550228364,0.7327061089499999,,,,7.057013546950586e+08,,,,,,,,,,,,,1.0262285674077892e+08,,1.5261846296656984e+08,2.554761412991666e+08,8.466590898847972e+07,,,,
pt_oilgas,/home/mkelp/nei2011Dir/2011eh_cb05_v6_11g/inputs/pt_oilgas/pt_oilgas_2011NEIv2_POINT_20140913_03feb2015_v4.csv,0.00666780975,155367.26302407065,17472.34975595123,1.4514959999999999e-06,,,,11.991347993187052,1179.3405,3853.7997478394495,,3.3838000499999996,,,5596.54826809334,125938.71308105213,1.6758894615995765e+06,1.2700589999999998e-06,3198.8047442631782,23.529657344999997,16446.799253765246,,,150.17268334499997,,2226.7073993194886,1723.6514999999997,1.8699115415050026e+06,13734.294933231,18521.263618364028,88.94460133721999,,1.880872389285476e+06,,6.090941694720001,,739.3829905499999,,,,,,4.690146449999999,,,,,,,,,,0.0029664949499999997,0.00010886219999999999,,,30.136990919863024,,17.3272335,,0,,,,,1.9528971494999998,580.0216042178362,,,6675.323237467482,72.43512156332129,21395.475788211665,,,224.06471634515592,1.3505723400669,1.3409920427419771e+06,,1.3607774999999999e-05,0.007048829073861149,0.00035833807499999995,,,,,,,,257.11561510026365,18.773563081425,,4287.4711632497365,,22.853462283452163,,,112.6475556166162,,0.7356762713223693,10.556612013196085,0.9817966385265233,,,0.18169261254575703,,,,,,,,,0.3552738533644379,7.029931534168432,66.99005270405944,,0.7697859105669592,257.6166127247539,53.022522005871146,,,,687.7837091233034,,,,,,,,1.58757375e-06,,,,,,,,,,3.067115181112688e+06,1.1543940299408609e+07,258.43556121659554,,,0.01088622,,,,0.6199285030504644,,124375.45360134999,,3472.117632435575,,,,4984.726370213753,,0.015756773273484348,432.7338525273722,,,,,33.93932405615294,,,,,0.13942033467320877,,,,,,,,,,,,,1.3607774999999999e-06,,,,,,2.7753490612344705e+06,,3852.0267633044755,4.989517499999999e-06,,0.599649285,,,,1.6818456955823076e+06,5144.2330936695,,,62.91370245640889,1123.1554092875472,284.9996106298715,5436.866983782722,2.0910074792439755,114.06351721554717,17.956390903585888,199.73014032608162,,1352.1995081124762,0.9103964349,455.7865269225,,7.348198499999999,275.19563067594186,4101.649712671778,159574.04108069997,2.181108205451829e+06,14673.249235644395,8231.310438839999,7554.786264981687,,2759.3067996642476,62.40783028743749,,,,2772.929729801462,,9681.092048817061,3.1207371563927997,722.1561277439347,,1.7236515e-05,,92.70081447867565,122.96993372534997,319208.36547554756,,,,,3307.7950505744225,4095.380745435187,5051.258019969989,0.013607774999999999,,,6315.925879616057,,,,,3.4473029999999997e-07,0.3810177,,,96.32088666506843,6.531732e-06,523.2387169400353,,273.7425432520284,,2.7215549999999997e-05,0.00309350085,4.5359250000000004e-07,,,24634.088741016043,,2015.0752844934548,,,28402.49276747201,,,,,4160.548285717458,997.9035,,90.806496945,,,4.6466922885,,,884.2818757292658,0.01470909759,5.8967025e-08,,,,2.2350978961017329e+08,,,,,,,,,,,,,5.772181362602347e+06,,7.86105723627638e+06,1.4162066661025805e+07,7.496441450969921e+06,,,,
agfire,/home/mkelp/nei2011Dir/2011eh_cb05_v6_11g/inputs/agfire/agburn_monthly_2011NEIv2_NONPOINT_20141108_11nov2014_v0.csv,,3931.7447120171278,6511.002682674629,,,,,,,,,,,,,3.0147354517599973e+06,971029.7675559637,,,,,,,,,,,4.1055946394762755e+06,,5533.319234009194,,,4898.849089542668,,,,,,,,,,,,,,,,,,,,,,,,34044.64394258397,,,,,,,,,6936.498756867714,,,,,61129.41911869578,302.74142548102185,,,,322.4939940833546,1426.1102290688616,,,,,,,,,,,,23.05185661327365,,,,,11.875202886723347,,,26182.706938808264,,,17485.363114457687,17465.55505838365,,,8732.776053569989,,,,,,,,,,,69862.202754342,,17465.55505838239,,34931.0916068413,,,,,,,,,,,,,,,,,,,,,,,2.9437116689323623e+07,8755.34045791034,,,,,,,,,,,,,,,,,,34931.09160684121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77991.60163497472,,,,,,,,,6.228026168624277e+06,,,,408.64600994908034,778.1895612037818,20.30254618840869,14.055603171215163,149.95915156398289,13.062765929216992,,93.00120237292347,,4.685202995727241,116.97715897308498,9827.614120073928,38.97730376893595,,,,7019.403403475337,1.2631395390343882e+07,,,,,,,,,,,,,,1083.704285739133,,,,15.762302340080138,318336.3857126923,,,,,,,,,,,,,,,,,,,,,,,85581.65009312234,,,,,,,,,,,,,,,,,,,,,,,,,,,,680.7223790773123,,,,,,8.760339287044235e+08,,,,,,,,,,,,,0,,4.791563771438903e+07,1.2940184920971477e+08,3.611622281980665e+07,,,,
afdust,/home/mkelp/nei2011Dir/2011eh_cb05_v6_11g/inputs/afdust/EPA_2011_afdust_no_precipadj_paved_unpaved_noNEIv2RPOstates_23sep2014_v0.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0325057729125214e+10,,,,,,,
