SCC: ,NOX (s),PM25-PRI (s),SO2 (s),VOC (s),deaths
2310021310,0,0,0,4.636300330103547e+06,1.2641560093199093
2310011020,0,0,0,3.243265583136719e+08,127.53962891266575
2310022501,0,0,0,1.31596819461885,1.3066887690508965e-06
2310023351,3.2078249452612326e+06,34184.720497109025,1035.5806270071216,46407.75368112215,6.145962467041875
2310021502,0,0,0,3.4330146844480117e+06,1.7335554839804201
2310030210,,,,8.079930482768852e+07,25.221844736017786
2310021500,474915.33911400003,10869.89067,1162.5575774999998,295766.80399499997,1.5343922718729421
2310011503,0,0,0,3.2216251454125373e+06,1.75075803832351
2310023603,0,0,0,6.6860253695947025e+06,2.213781797986302
2310011502,0,0,0,1.3250643243866472e+06,0.47381161241409253
2310023100,1.9413082841453655e+06,147539.3487931684,0.018061682876239098,106771.90886941228,5.338359155256013
2310021600,0,0,0,8.42815874533793e+06,4.502631145676312
2310021403,1.5623821248534372e+07,105754.99013442821,6534.525421097001,327927.8643841964,18.14743057576514
2310021504,0,0,0,482268.8939063957,0.312349785623359
2310021501,0,0,0,8.958720113082854e+06,4.498967353039191
2310021503,0,0,0,5.02415717816085e+06,2.46826791665734
2310023302,1.2691204473549733e+07,136652.46927874524,4139.699786443462,184557.51493235517,19.86069787569851
2310012522,0,0,0,0.00816412250337,4.1486059981854955e-09
2310121401,112308.595815,,,9.944569218642214e+07,41.75527788447921
2310023251,724199.2143961709,8539.133364075076,502.74978269584193,84590.82665678549,1.328426845089278
2310021301,1.0761985458400424e+06,3721.5528000776367,231.39753685212233,5152.631783596175,1.579520832457644
2310000550,0,0,0,4.08534277755599e+07,21.135508231699735
2310022505,0,0,0,15.338484399299999,1.5230403385703302e-05
2310011505,0,0,0,3.891572454384373e+07,19.87288940449331
2310002401,0,0,0,84.97175518050001,8.437302945919912e-05
2310021011,266624.48377349996,0.362874,,5506.703668499999,0.2851161370022112
2310122100,0,0,0,25.273684220099998,2.5095595822505547e-05
2310021030,0,0,0,1.4528588898912583e+07,8.065595875514893
2310010000,673629.314565,,,9.485300392644932e+06,21.59177807981628
2310000230,5.147003647455001e+06,127980.04992943893,48382.98447304399,267891.2798195638,14.501179365845148
2310010300,,,,1.872722258967481e+08,75.92356071115691
2310023512,,,,179067.98944595247,0.1338827798915418
2310012526,0,0,0,68.6013297,3.498484773746806e-05
2310021411,371.94585,0,0,0,0.0003284670063098105
2310011000,921315.163831871,,7.44087114633641e+06,6.639122222365953e+07,34.06864451633952
2310021505,0,0,0,3.781823345822787e+07,18.08301943104631
2310021351,5.339923911027986e+07,824615.0627495627,24389.968473077257,906172.0451537133,100.84424733642294
2310012512,0,0,0,0.0023245113326639997,1.1762351308435026e-09
2310030300,,,,977.3104005,0.0003105137716299548
2310021202,1.8879364842796244e+07,226526.29315119545,13060.204957215088,2.378732728115058e+06,34.7397217574832
2310121100,,,,1.6205668888373435e+07,10.926798889149453
2310011504,0,0,0,4.0593015173507e+06,2.103859454093047
