SCC: ,SCC Descriptions: ,NOX (kg) Emissions,PM25-PRI (kg) Emissions,SO2 (kg) Emissions,VOC (kg) Emissions,Deaths from NOX to TotalPop,Deaths from PM25-PRI to TotalPop,Deaths from SO2 to TotalPop,Deaths from VOC to TotalPop,Deaths from NOX to WhiteNoLat,Deaths from PM25-PRI to WhiteNoLat,Deaths from SO2 to WhiteNoLat,Deaths from VOC to WhiteNoLat,Deaths from NOX to Black,Deaths from PM25-PRI to Black,Deaths from SO2 to Black,Deaths from VOC to Black,Deaths from NOX to Native,Deaths from PM25-PRI to Native,Deaths from SO2 to Native,Deaths from VOC to Native,Deaths from NOX to Asian,Deaths from PM25-PRI to Asian,Deaths from SO2 to Asian,Deaths from VOC to Asian,Deaths from NOX to Other,Deaths from PM25-PRI to Other,Deaths from SO2 to Other,Deaths from VOC to Other,Deaths from NOX to Latino,Deaths from PM25-PRI to Latino,Deaths from SO2 to Latino,Deaths from VOC to Latino,Deaths from NOX to Poverty,Deaths from PM25-PRI to Poverty,Deaths from SO2 to Poverty,Deaths from VOC to Poverty,Deaths from NOX to TwoXPov,Deaths from PM25-PRI to TwoXPov,Deaths from SO2 to TwoXPov,Deaths from VOC to TwoXPov
2310022420,"""Industrial Processes;Oil and Gas Exploration and Production;Off-Shore Gas Production;Dehydrator""",0,0,0,602.2097058003,0,0,0,0.0005979668,0,0,0,0.0002535184,0,0,0,0.0001165758,0,0,0,1.70061757648729E-06,0,0,0,1.99642945102622E-05,0,0,0,7.6878400013053E-06,0,0,0,0.0001985199,0,0,0,0.0001043718,0,0,0,0.0003474201
2310022505,"""Industrial Processes;Oil and Gas Exploration and Production;Off-Shore Gas Production;Fugitives; Valves: Gas""",0,0,0,15.3384843993,0,0,0,1.52304080782469E-05,0,0,0,6.45719366484208E-06,0,0,0,2.96922168320894E-06,0,0,0,4.3315260503767E-08,0,0,0,5.08496813000483E-07,0,0,0,1.95811731294285E-07,0,0,0,5.05636891504426E-06,0,0,0,2.65838297633468E-06,0,0,0,8.84890272077632E-06
2310002305,"""Industrial Processes;Oil and Gas Exploration and Production;Off-Shore Oil And Gas Production;Flares: Flaring Operations""",259299.912308083,0.6894606,0.0433160725,9837.2756451077,0.2757693231,0.00000278,2.51826352352542E-07,0.0021559141,0.2157225272,1.99438231489511E-06,1.16425140731812E-07,0.0015544158,0.0176906227,2.43799691792687E-07,3.81086052847768E-08,0.0001202271,0.0015041902,0.000000067,0.000000001,7.14276387901462E-05,0.0052833692,4.63812315928583E-08,1.0504934035735E-08,2.56135087727986E-05,0.0053707365,5.89265187108705E-08,3.88592066774781E-09,4.24871491456853E-05,0.0301978771,3.69457304366912E-07,8.18932776297154E-08,0.000341743,0.037193234,4.12326742300579E-07,4.16185620953233E-08,0.0003143442,0.1799505474,1.73790856227951E-06,1.52097476845601E-07,0.001337358
2310022000,"""Industrial Processes;Oil and Gas Production: SIC 13;Natural Gas : Off-shore;Total: All Processes""",69818.90623338,285.1148100902,127.3034022489,1701.7237771436,0.1155066145,0.0051895075,0.0007401058,0.0016897334,0.0591396789,0.0021366897,0.0003421704,0.0007163916,0.0190295209,0.0010659008,0.0001119987,0.0003294194,0.0006006915,1.59281767189383E-05,0.000002964,4.80560144791249E-06,0.0039969516,0.0001963283,3.08736579545274E-05,0.000056415,0.001822556,7.03853128344188E-05,1.14206536296762E-05,2.17242807901074E-05,0.0309172154,0.0017042752,0.0002406784,0.0005609775,0.0181137434,0.0009236806,0.0001223148,0.0002949336,0.0701324804,0.0030083569,0.0004470081,0.000981739
2310022410,"""Industrial Processes;Oil and Gas Exploration and Production;Off-Shore Gas Production;Amine Unit""",0,0,17.691558996,0,0,0,0.0001028537,0,0,0,0.000047552,0,0,0,1.55646464422271E-05,0,0,0,4.1190932177133E-07,0,0,0,4.29056534395203E-06,0,0,0,1.58714724561603E-06,0,0,0,3.34474855999464E-05,0,0,0,1.69982875141078E-05,0,0,0,6.21214618652919E-05,0
2310020600,"""Industrial Processes;Oil and Gas Production: SIC 13;Natural Gas; Compressor engines""",12241713.0992756,184759.924117148,3429.5390035242,4484379.44569042,14.0964208039,4.3633122897,0.0373357306,1.3461325206,10.9978602281,3.0631211966,0.0237089887,0.9976941016,1.1885210916,0.5439090216,0.0056886368,0.0951329219,0.0819670805,0.008196552,6.10440659944585E-05,0.0317819656,0.3303985566,0.1981418309,0.0021648298,0.0262510243,0.2687342119,0.082461841,0.0007268189,0.0250267633,1.2289396447,0.4674818532,0.0049854123,0.1702457459,1.8571826161,0.5467262346,0.0046550583,0.18453204,9.2436655686,3.0004541615,0.0259999208,0.8687154679
2310021251,"""Industrial Processes;Oil and Gas Exploration and Production;On-Shore Gas Production;Lateral Compressors 4 Cycle Lean Burn""",9505266.75507786,112031.284264642,6585.1980505314,1111722.9892808,16.2206532753,1.3435336404,0.0371330237,0.5663555659,12.674025454,0.9740457837,0.0254970394,0.4470805377,1.5727694621,0.1769345822,0.0058129389,0.0528785372,0.1766075554,0.0104942388,0.0001832953,0.0065037343,0.3465413928,0.0427063624,0.0014289148,0.0112579161,0.3917186574,0.0308636235,0.0007864512,0.013532293,1.0589907701,0.1084890511,0.0034243841,0.0351025482,2.3481206106,0.1925029596,0.005129393,0.0836585129,10.275917877,0.870015057,0.024571204,0.3555920218
2310021303,"""Industrial Processes;Oil and Gas Exploration and Production;On-Shore Gas Production;Natural Gas Fired 4Cycle Rich Burn Compressor Engines 500+ HP""",85422.328750257,359.0037492093,21.0615619324,2281.6650214014,0.1480073856,0.0034821677,9.1097473716341E-05,0.0012828488,0.1102415091,0.0024292611,6.31093252489871E-05,0.0009274648,0.0132178234,0.0003756253,1.19091252055165E-05,0.000109953,0.0032012697,6.16521025817547E-05,1.67327039503802E-06,2.32192678099444E-05,0.0022085373,7.12481766957069E-05,1.9164600428849E-06,2.05252026856926E-05,0.004540838,0.0001006461,2.76689174445262E-06,3.51036557820218E-05,0.0145974084,0.0004437349,9.72240111957697E-06,0.0001665829,0.0225262548,0.0005214777,1.44737136542262E-05,0.0001856143,0.0905135286,0.0021658496,5.55002206681183E-05,0.0008011467
2310021402,"""Industrial Processes;Oil and Gas Exploration and Production;On-Shore Gas Production;Nat Gas Fired 4Cycle Rich Burn Compressor Engines 50 To 499 HP w/NSCR""",845543.303375231,54392.1605625865,3174.7302745781,27755.4786936165,2.2919524438,1.3529479168,0.0184749469,0.0397129166,1.4002007574,0.6982450061,0.0107888389,0.0213203861,0.311544545,0.2067564679,0.002844651,0.0057350595,0.0244614478,0.0082619575,0.0001911288,0.0002425027,0.0675532007,0.0554865418,0.0005978175,0.0014658769,0.0497755414,0.0250205878,0.0004118942,0.0007212699,0.4384169497,0.359177355,0.0036406165,0.0102278214,0.367627582,0.2264326831,0.0029963225,0.0065329845,1.3883300867,0.81460142,0.0112061248,0.0240198326
2310021509,"""Industrial Processes;Oil and Gas Exploration and Production;On-Shore Gas Production;Fugitives: All Processes""",25.4918985,0,0,289657.094457,5.38628340701735E-05,0,0,0.2795508136,3.92177297048988E-05,0,0,0.2300714558,4.65016948072529E-06,0,0,0.0242805955,0.000000084,0,0,0.000335892,2.58046097553636E-06,0,0,0.0072558957,9.48213879930274E-07,0,0,0.0047367345,6.38224834977539E-06,0,0,0.0128702407,6.68233662448918E-06,0,0,0.0321062486,3.69503698424519E-05,0,0,0.1935329683
2310023606,"""Industrial Processes;Oil and Gas Exploration and Production;Coal Bed Methane Natural Gas;Mud Degassing""",,,,13755.283281,0,0,0,0.0078717685,0,0,0,0.0062941472,0,0,0,0.0010718548,0,0,0,2.63008568321127E-05,0,0,0,0.000096161,0,0,0,0.0001147363,0,0,0,0.0002685684,0,0,0,0.0014624823,0,0,0,0.0044431833
2310122100,"""Industrial Processes;Oil and Gas Exploration and Production;Off-Shore Gas Exploration;Mud Degassing""",0,0,0,25.2736842201,0,0,0,2.50956044200846E-05,0,0,0,1.06397146930581E-05,0,0,0,4.89247668555823E-06,0,0,0,7.13718969132492E-08,0,0,0,8.37865577656011E-07,0,0,0,3.22644961747411E-07,0,0,0,8.33153058809255E-06,0,0,0,4.3802983483179E-06,0,0,0,1.4580604061841E-05
2310002301,"""Industrial Processes;Oil and Gas Exploration and Production;Off-Shore Oil And Gas Production;Flares: Continuous Pilot Light""",17.5390430538,0,0,1.5480587944,2.90162091528309E-05,0,0,1.53714708849832E-06,1.48563694243873E-05,0,0,6.51697434702819E-07,4.78037898589054E-06,0,0,2.99671988183991E-07,1.50898482628373E-07,0,0,4.37162796768517E-09,1.00406750647332E-06,0,0,5.13206223794072E-08,4.57840821399958E-07,0,0,1.97624692403255E-08,7.7666538735091E-06,0,0,5.10322944979173E-07,4.5503202218111E-06,0,0,2.68300794725236E-07,1.76178556459403E-05,0,0,8.9308538019579E-07
2310011500,"""Industrial Processes;Oil and Gas Exploration and Production;On-Shore Oil Production;Fugitives: All Processes""",,,,2404466.62695,0,0,0,0.4595771091,0,0,0,0.3611214701,0,0,0,0.0252179443,0,0,0,0.0070424634,0,0,0,0.0079503652,0,0,0,0.0097613276,0,0,0,0.0484835371,0,0,0,0.0596970156,0,0,0,0.3039645993
2310023515,"""Industrial Processes;Oil and Gas Exploration and Production;Coal Bed Methane Natural Gas;Fugitives:  Valves""",,,,3164305.42866605,0,0,0,2.2922816838,0,0,0,1.5367996393,0,0,0,0.5679991948,0,0,0,0.0223504907,0,0,0,0.0291426127,0,0,0,0.0414266384,0,0,0,0.0945631117,0,0,0,0.4301286141,0,0,0,1.3039449365
2310021201,"""Industrial Processes;Oil and Gas Exploration and Production;On-Shore Gas Production;Natural Gas Fired 4Cycle Lean Burn Compressor Engines <50 HP""",22928.0802011565,17.049043522,2.3414446916,572.8608352051,0.0463960555,0.0002051933,1.24095634363691E-05,0.0003889107,0.0308629488,0.0001243226,0.0000076,0.0002441803,0.0068296409,0.000034206,2.06138542346554E-06,0.000062439,0.0005835808,1.87146825028674E-06,1.30243624430696E-07,3.40744025297877E-06,0.0007631979,4.76052745782764E-06,3.06712494649811E-07,6.91640229599255E-06,0.0010128287,4.11243019587322E-06,0.000000274,7.13870374226045E-06,0.0063438583,3.59202162335994E-05,2.03721503820219E-06,6.48289295225267E-05,0.0078392184,3.4360546108802E-05,2.07163837532046E-06,6.53383046313148E-05,0.0269702167,0.00012095,7.38068352171979E-06,0.0002262507
2310021309,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2310022051,"""Industrial Processes;Oil and Gas Exploration and Production;Off-Shore Gas Production;Turbines: Natural Gas""",4941.432521949,29.3696789262,54.0333538086,32.4200340576,0.0081750021,0.0005345712,0.0003141347,3.21916011316813E-05,0.0041856216,0.0002201004,0.0001452328,1.36481851768023E-05,0.0013468204,0.0001097984,4.75373699852964E-05,6.27586557574671E-06,0.000042514,1.64076137765003E-06,0.000001258,9.1552921264637E-08,0.0002828853,2.02237742604811E-05,1.31041935404007E-05,1.07477949594692E-06,0.0001289917,7.250390045074E-06,4.84744697362541E-06,4.13875619970571E-07,0.0021881692,0.0001755575,0.0001021549,1.06873423200674E-05,0.0012820031,9.51483422974646E-05,0.000051916,5.61886474899475E-06,0.00496364,0.0003098908,0.0001897307,1.87033957311914E-05
2310121401,"""Industrial Processes;Oil and Gas Exploration and Production;Off-Shore Oil Exploration;Oil Well Pneumatic Pumps""",112308.595815,,,99445692.186422,0.0982280181,0,0,41.6507076682,0.0806906817,0,0,28.555323471,0.0064684699,0,0,4.6731035096,0.0010167266,0,0,0.4082279636,0.0017801531,0,0,0.7949214214,0.0016611805,0,0,0.8372744539,0.0066108063,0,0,6.3818568513,0.0127542974,0,0,6.716473474,0.0644627961,0,0,25.2684866806
2310023351,"""Industrial Processes;Oil and Gas Exploration and Production;Coal Bed Methane Natural Gas;Lateral Compressors 4 Cycle Rich Burn""",3207824.94526123,34184.720497109,1035.5806270071,46407.7536811222,5.588872858,0.516551169,0.0052835358,0.0348585901,3.9125007821,0.32511869,0.0035447914,0.0231085013,1.2130061839,0.149049574,0.001245484,0.0091891388,0.0462162902,0.0028435064,2.66693775838255E-05,0.0002317289,0.0691655832,0.0080903169,9.38143419246451E-05,0.0004386027,0.0934195044,0.0076854942,8.85587270189557E-05,0.0005051122,0.2545645224,0.0237635886,0.0002842179,0.0013855062,1.0065374793,0.0958584215,0.0008978301,0.0065672496,3.2353185423,0.2978428105,0.0031694284,0.0198231257
2310030401,"""Industrial Processes;Oil and Gas Exploration and Production;Natural Gas Liquids;Gas Plant Truck Loading""",0,0,0,81864.63748365,0,0,0,0.022986628,0,0,0,0.0173596845,0,0,0,0.0011823002,0,0,0,0.000123891,0,0,0,0.0004249953,0,0,0,0.0004644859,0,0,0,0.0034312712,0,0,0,0.0029593414,0,0,0,0.0152416625
2310012522,"""Industrial Processes;Oil and Gas Exploration and Production;Off-Shore Oil Production;Fugitives; Flanges: Oil/Water""",0,0,0,0.0081641225,0,0,0,4.1535216427307E-09,0,0,0,1.88708683798471E-09,0,0,0,4.5759265889056E-10,0,0,0,1.29211500195595E-11,0,0,0,9.01373905187419E-11,0,0,0,6.27923268731898E-11,0,0,0,1.64299126581883E-09,0,0,0,7.14969832422164E-10,0,0,0,2.42081192716052E-09
2310023310,"""Industrial Processes;Oil and Gas Exploration and Production;Coal Bed Methane Natural Gas;Pneumatic Pumps""",0,0,0,6070152.82373538,0,0,0,3.3053514557,0,0,0,2.2160819797,0,0,0,0.7492598862,0,0,0,0.0341358732,0,0,0,0.0428044899,0,0,0,0.0487193015,0,0,0,0.2143499301,0,0,0,0.5947584311,0,0,0,1.9202780686
2310021603,"""Industrial Processes;Oil and Gas Exploration and Production;On-Shore Gas Production;Gas Well Venting - Blowdowns""",51129.6880804023,18.1437,2081448.98039221,65756332.0897048,0.0468906081,0.0002916069,20.4263546294,23.5111689601,0.0361148647,0.0002069757,13.2304776366,17.8008126352,0.0034898276,3.09902007165598E-05,3.0128286646,2.0975981109,0.0005561042,5.61944187466658E-07,0.0327227516,0.416789551,0.0007952845,1.40846070012171E-05,1.1369818284,0.4052645478,0.0009989664,5.30536483150057E-06,0.3853382872,0.590782767,0.0049355607,3.36890838087224E-05,2.6280054689,2.1999213621,0.0066992941,3.83925796482338E-05,2.5812789277,3.4827812128,0.0294393253,0.0001965379,14.1274099351,14.6732902947
2310021300,"""Industrial Processes;Oil and Gas Production: SIC 13;Natural Gas; Gas well pneumatic devices""",0,0,0,175378725.542442,0,0,0,87.2557149042,0,0,0,58.4606700507,0,0,0,11.0919856547,0,0,0,1.0592929378,0,0,0,1.5480686105,0,0,0,1.9911011777,0,0,0,13.104596447,0,0,0,14.5327554368,0,0,0,52.1182206485
2310023102,"""Industrial Processes;Oil and Gas Exploration and Production;Coal Bed Methane Natural Gas;CBM Fired 2Cycle Lean Burn Compressor Engines 50 To 499 HP""",4225.5951552,105.22620252,1.2807456393,220.8632601,0.006234749,0.0011755679,6.46260317798542E-06,0.0001238842,0.00424885,0.0007642593,4.1228462417806E-06,8.34911013487657E-05,0.0015591077,0.000328316,1.83513907105868E-06,3.25951640412479E-05,3.15022138851771E-05,4.32868295193135E-06,2.77852743687295E-08,4.655226547847E-07,6.19736902176786E-05,1.42930632568344E-05,8.82322605291131E-08,1.22362968831559E-06,8.02295644908742E-05,1.50573009566514E-05,8.87408541544311E-08,1.5457256943508E-06,0.0002530859,4.9313582849026E-05,2.99859479009405E-07,4.56305412769338E-06,0.0011493886,0.0002103023,0.000001192,2.18950676780885E-05,0.003589671,0.0006938566,0.000003738,0.000073421
2310011100,"""Industrial Processes;Oil and Gas Exploration and Production;On-Shore Oil Production;Heater Treater""",10285009.4171378,768691.766563769,20518.1467068457,552152.066068648,13.9806858808,6.7135002647,0.0682870864,0.2818562815,9.6758709059,3.9971398472,0.0460656017,0.167332914,1.315564142,0.7232654929,0.0085865458,0.0263126459,0.1912330313,0.0651673893,0.0007558523,0.0026694574,0.2384123876,0.1518067798,0.0015568271,0.0052705912,0.3405669468,0.1465167067,0.0016468721,0.0057446686,2.2190384602,1.6296040398,0.0096753873,0.0745260041,2.1900438305,1.0921045332,0.0106350077,0.0457390756,8.3984314633,4.0120223518,0.042010511,0.165877834
2310002000,"""Industrial Processes;Oil and Gas Production: SIC 13;All Processes : Off-shore;Total: All Processes""",0,0,0,141.6694296875,0,0,0,7.22475788249168E-05,0,0,0,3.28721001194734E-05,0,0,0,7.96781903283342E-06,0,0,0,2.24846353938686E-07,0,0,0,1.56746496681647E-06,0,0,0,1.09245214191582E-06,0,0,0,2.85228959908687E-05,0,0,0,1.24339028161458E-05,0,0,0,4.21141457489932E-05
2310010700,"""Industrial Processes;Oil and Gas Production: SIC 13;Crude Petroleum; Oil well fugitives""",,,,20024422.8716775,0,0,0,5.9776054902,0,0,0,4.4193314083,0,0,0,0.3198209104,0,0,0,0.0456588058,0,0,0,0.1075130406,0,0,0,0.1111967809,0,0,0,0.9740845229,0,0,0,0.7740418536,0,0,0,3.9401750751
2310000230,"""Industrial Processes;Oil and Gas Exploration and Production;All Processes;Workover Rigs""",5147003.647455,127980.049929439,48382.984473044,267891.279819564,10.7805887471,3.1430334768,0.4138873036,0.1630135905,8.1811855421,2.1092351439,0.2555072738,0.1282227592,0.9741987885,0.3952340079,0.0578035394,0.0130710815,0.0198983756,0.0047716478,0.0007203125,0.0003478527,0.3981318157,0.1693413121,0.0263501903,0.0048950399,0.1854410464,0.0584333691,0.0081227859,0.0027685451,1.0217331812,0.4060179983,0.0653832019,0.0137083122,1.3001574688,0.3964402723,0.052573304,0.0197151168,7.3805023111,2.1630640141,0.2875713364,0.1106993997
