SCC: ,NOX (kg),PM25-PRI (kg),SO2 (kg),VOC (kg),SCC_descriptions,total[Emissions],total[NOx],total[PRI],total[SO2],total[VOC],total[NH3],tot_deathsE,deaths_whiteE,death_blackE,death_nativeE,death_asianE,death_otherE,death_latinoE,death_povertyE,death_twoxpovE,tot_deathsnox,deaths_whitenox,death_blacknox,death_nativenox,death_asiannox,death_othernox,death_latinonox,death_povertynox,death_twoxpovnox,tot_deathspri,deaths_whitepri,death_blackpri,death_nativepri,death_asianpri,death_otherpri,death_latinopri,death_povertypri,death_twoxpovpri,tot_deathsvoc,deaths_whitevoc,death_blackvoc,death_nativevoc,death_asianvoc,death_othervoc,death_latinovoc,death_povertyvoc,death_twoxpovvoc,tot_deathsso2,deaths_whiteso2,death_blackso2,death_nativeso2,death_asianso2,death_otherso2,death_latinoso2,death_povertyso2,death_twoxpovso2,tot_deathsnh3,deaths_whitenh3,death_blacknh3,death_nativenh3,death_asiannh3,death_othernh3,death_latinonh3,death_povertynh3,death_twoxpovnh3
2310012511,0,0,0,0.0232495585,"""Industrial Processes;Oil and Gas Exploration and Production;Off-Shore Oil Production;Fugitives; Connectors: Oil Streams""",1.13777161406217E-06,4.97610515174566E-08,5.24618199163283E-07,2.47474490559655E-07,2.86439250588864E-08,2.87273947762845E-07,4.30357315195582E-07,1.98168460183123E-07,5.03006010549647E-08,1.92021641536845E-09,1.15700892757671E-08,0.000000007,1.6139956235656E-07,7.36935362699467E-08,2.53285919430255E-07,2.35549626551013E-08,1.27396315116833E-08,2.48637848408181E-09,1.63197375588406E-10,5.17548791431894E-10,4.3170195328125E-10,7.21650446127213E-09,3.79149218515794E-09,1.40793096794803E-08,1.9937530817155E-07,8.88742176046998E-08,2.54153154479949E-08,8.15962801214037E-10,5.36548902289346E-09,3.15983939752079E-09,7.57444835225336E-08,3.48057917670729E-08,1.16315718834528E-07,9.11468552026139E-08,4.32110503759097E-08,9.72564452382988E-09,4.60439583805718E-10,2.57414541524968E-09,1.54202968732254E-09,3.36335454596372E-08,1.5295993503693E-08,5.42618096698316E-08,1.18384903661064E-08,5.38186063824574E-09,1.30502053175772E-09,3.68301882653199E-11,2.5686816329869E-10,1.78962707777563E-10,4.67894810084398E-09,0.000000002,6.90032645441818E-09,1.04375382249647E-07,4.79174113883323E-08,1.13571135996411E-08,4.4354062703305E-10,2.8542475058526E-09,1.6845635733195E-09,4.01185053758876E-08,1.77532431220197E-08,6.16853151947564E-08
2310012516,0,0,0,0.1166010505,"""Industrial Processes;Oil and Gas Exploration and Production;Off-Shore Oil Production;Fugitives; Other: Oil""",5.70651647615829E-06,2.49573574032277E-07,2.63126562746728E-06,1.2411930395625E-06,1.43663622209075E-07,1.44082061288712E-06,2.15847507784977E-06,9.93923514350128E-07,2.52301637599423E-07,9.63087588971529E-09,0.000000058,3.51001695989484E-08,8.09485648192994E-07,3.69612466335147E-07,1.27036813101308E-06,1.1819175184003E-07,6.39328052076278E-08,1.2476774477958E-08,8.18608072226585E-10,2.5978242866981E-09,2.16610744562721E-09,3.6199631959814E-08,0.000000019,7.06495673691875E-08,0.000001,4.45770606333487E-07,1.2749029744801E-07,4.09267088187494E-09,2.69126711282824E-08,1.58486794747317E-08,3.79899571429791E-07,1.74576666767668E-07,5.83410392559385E-07,4.57208677062244E-07,2.16767326266754E-07,4.87924760004853E-08,2.30947245184839E-09,1.2912826436114E-08,7.73527326167123E-09,1.68691301858709E-07,7.67245325324943E-08,2.7219340180848E-07,5.94501699364175E-08,0.000000027,6.55618626236522E-09,1.85071468007922E-10,1.2898044669831E-09,8.98863524761568E-10,2.34745657766491E-08,1.02320012085534E-08,3.46532487513557E-08,5.2356116281331E-07,2.4037397806366E-07,0.000000057,2.22486119108668E-09,1.43183630842502E-08,8.45029660778036E-09,2.0121530612573E-07,8.90502167528052E-08,3.09428126531352E-07
2310012020,0,0,0,999.7266696945,"""Industrial Processes;Oil and Gas Exploration and Production;Off-Shore Oil Production;Storage Tanks: Crude Oil""",0.0489263046,0.0021397918,0.0225597777,0.0106417257,0.00123174,0.0123532694,0.0185063594,0.0085217293,0.0021631386,8.25742924796917E-05,0.0004975639,0.0003009436,0.0069404096,0.0031689859,0.010891902,0.0010134447,0.0005482127,0.0001069853,0.000007019,2.22764071757401E-05,1.85736133976198E-05,0.0003103777,0.0001631076,0.000605802,0.0085739556,0.0038219833,0.0010930483,3.50903524588734E-05,0.0002307451,0.0001358847,0.0032572039,0.0014967858,0.0050020721,0.003920124,0.0018585857,0.0004183513,1.98019271824516E-05,0.0001107154,6.63230656575971E-05,0.0014463466,0.0006578376,0.0023338016,0.000509834,0.0002319706,5.62271138712924E-05,1.58668732880763E-06,1.10612378414198E-05,7.70917434057895E-06,0.0002012792,8.77431071794737E-05,0.0002971895,0.0044889991,0.0020609763,0.0004885265,1.90763138135918E-05,0.0001227657,0.000072453,0.0017252013,0.0007635114,0.0026530355
2310011000,921315.163831871,,7440871.1463364,66391222.2236596,"""Industrial Processes;Oil and Gas Production: SIC 13;Crude Petroleum : On-shore;Total: All Processes""",1450.2668823627,102.4675261251,622.4386128399,312.4053365607,28.2561320815,384.6992747555,640.6825654074,451.6877145083,68.2231630141,8.1715246352,17.5646955041,12.5898306008,82.4456367193,91.1713849974,414.1442023484,52.6814263445,41.3403246368,3.7922962071,0.9443291621,0.9794077068,0.9962560073,4.6288125532,7.0702356096,34.2779328847,272.3520286092,189.3591941654,29.5087623768,3.8812320512,7.3378727441,5.4006954718,36.8642716118,39.0497598716,175.5212648044,137.5933740931,96.5795615501,15.3977999214,1.2540942657,4.187073742,2.7230087509,17.451835792,19.5912171248,89.2438310237,13.1552183719,9.2537232297,1.1804958106,0.2647307412,0.2370151721,0.2464503208,1.972803084,1.8847075179,8.3448866985,164.6155194261,114.9367327566,18.3295691636,1.8152512598,4.8188035156,3.217920119,21.4972425304,23.5390997576,106.5665285144
2310021010,541309.20542702,0,23820.86373,321761464.541984,"""Industrial Processes;Oil and Gas Exploration and Production;On-Shore Gas Production;Storage Tanks: Condensate""",16530.9611489228,829.6110583434,8549.6044760514,2914.0869974454,487.1887192387,3750.4698978439,6536.7818373541,3651.6466824653,950.3460867099,47.4422225932,195.2521772561,121.8848367858,1570.2098259173,1097.9864568844,3932.5308464892,419.1715783481,270.6708613798,50.622943688,4.2701691943,9.6454752107,8.6063145314,75.3558139112,66.7493179422,254.3775388599,3174.1989828254,1681.4668381391,472.2064493638,23.3624173614,97.641551479,58.4841779659,841.0375456729,551.8607507916,1887.1410682919,1209.9721168007,716.0977336851,174.6580355177,8.1836819844,35.9583863015,23.139526195,251.9347522232,193.6850689747,740.9434124258,177.4286358482,91.7135646461,23.3386575362,1.3978487586,4.465384976,3.0128999624,53.5002797505,31.8696571336,103.3187959933,1506.1830325718,870.7115527664,221.3187513848,9.9916542488,45.7637241201,27.929310232,330.4680386652,244.5259401006,918.0521004121
2310023030,,,,12021.4576105065,"""Industrial Processes;Oil and Gas Exploration and Production;Coal Bed Methane Natural Gas;Tank Truck/Railcar Loading: Condensate""",0.4685809201,0.0333447859,0.1955014628,0.106385108,0.007245949,0.1261036145,0.2960948149,0.2252305711,0.0344942976,0.0044273959,0.0058504694,0.0083233802,0.0177687012,0.0443310444,0.1867157753,0.0253939928,0.0203152904,0.0020225676,0.0005740642,0.0003674604,0.0008241924,0.0012904177,0.0037918714,0.0157798487,0.1267639217,0.0960017231,0.0142778281,0.0024095923,0.0024387267,0.0039374177,0.007698634,0.0189925359,0.0798565956,0.0628455045,0.0475548441,0.008299514,0.0004407168,0.0013447991,0.0014064991,0.0037991315,0.0094306368,0.0397831854,0.0059017089,0.0046513528,0.0004559849,0.0001869977,7.8379774055125E-05,0.0002308869,0.0002981069,0.0008915499,0.0036433016,0.0751895534,0.0567072573,0.009438395,0.0008160179,0.0016211018,0.0019243767,0.0046824048,0.0112244304,0.0476527615
2310000550,0,0,0,40853427.7755599,"""Industrial Processes;Oil and Gas Exploration and Production;All Processes;Produced Water""",1612.5401979675,90.3399021752,797.6676898114,293.0229776859,42.3667425656,389.1428857294,761.4295694115,461.2956472651,118.7745219841,6.7409113782,19.3950053061,15.3474746157,139.8760082636,123.9319544193,460.1926381568,53.410494832,35.8729756245,6.9617675437,0.6290485561,1.0168481998,1.1543031949,7.7755516747,8.5120989767,32.1602674883,366.6085512723,215.318117937,59.6748026129,3.0483648434,9.7150248738,7.1301337427,71.7221069289,60.110553705,221.0716987856,141.1323400528,88.7618585897,21.323184068,1.3814791982,3.5309743992,3.0660287864,23.0688149337,22.8630575417,85.6005763422,21.1355082317,12.5579633842,3.1883096308,0.1813256487,0.4650394688,0.3895942819,4.3532757935,3.4378064373,12.6525702153,178.6617191445,108.5160916836,27.5502253987,1.4969156063,4.6537412211,3.5983356164,32.8464094938,28.9305854268,108.4179687508
2310021301,1076198.54584004,3721.5528000776,231.3975368521,5152.6317835962,"""Industrial Processes;Oil and Gas Exploration and Production;On-Shore Gas Production;Natural Gas Fired 4Cycle Rich Burn Compressor Engines <50 HP""",48.9566595865,2.647266099,24.5484584373,9.0437075944,1.47881591,11.2384115458,21.3261629188,12.3746625341,3.0185593771,0.1861547912,0.5144065357,0.4197554976,4.8126241602,3.6443017234,12.558914173,1.554565354,1.0118905296,0.1959784087,0.018340497,0.0277268349,0.0332769609,0.2673521214,0.2604836098,0.9109618196,9.9213960508,5.4868617768,1.3755403984,0.0794656326,0.2432868219,0.1840698182,2.5521715912,1.7429738851,5.7831770293,4.2370720678,2.5917975159,0.6277809212,0.0419175325,0.1053613956,0.092391834,0.7778228649,0.6969527384,2.538466659,0.5908085226,0.315396706,0.071632486,0.0042523593,0.0112591231,0.009457021,0.1788108264,0.1078635073,0.3358107205,5.0216887182,2.9683916145,0.7475369311,0.0421747792,0.1267590416,0.1005503651,1.0362759813,0.8359102318,2.9901424257
2310002411,0,0,0,28.976214648,"""Industrial Processes;Oil and Gas Exploration and Production;Off-Shore Oil And Gas Production;Pressure/Level Controllers""",0.0023941206,9.67605259281554E-05,0.0012075534,0.0004546427,6.12023192626392E-05,0.0005739617,0.0008535035,0.0003742191,0.0001472798,3.08352710923318E-06,3.13752329241468E-05,1.24444266467263E-05,0.0002851014,0.0001467162,0.0005030423,4.22713471970143E-05,2.19024800222229E-05,6.43352228337368E-06,2.35301345195371E-07,1.34957019922936E-06,6.89839571343573E-07,1.16606336788673E-05,0.000006666,2.55816687365129E-05,0.00044228,0.0001846827,8.4932505109778E-05,1.43511688013836E-06,0.000015904,0.000006172,0.0001491538,7.84622914949433E-05,0.0002566706,0.0001517212,7.0553490138138E-05,2.14125672769116E-05,6.43909039493295E-07,5.86184482970329E-06,2.39281368780555E-06,5.08565314642382E-05,2.51626601000116E-05,9.13366932289372E-05,2.45003311748452E-05,1.05272723692833E-05,4.39453215328727E-06,7.0888476228726E-08,7.65258450602814E-07,3.25204726784395E-07,8.41717497139366E-06,4.26537753304725E-06,1.42433723236844E-05,0.0001927306,8.65531098769282E-05,3.01067168328115E-05,6.98311238190976E-07,7.49459178694478E-06,2.86455826317647E-06,6.50132682566975E-05,3.21598711188462E-05,0.0001152099
2310021203,2508737.40983659,21517.5396664787,4388.2690641407,1065508.11399691,"""Industrial Processes;Oil and Gas Exploration and Production;On-Shore Gas Production;Natural Gas Fired 4Cycle Lean Burn Compressor Engines 500+ HP""",269.9053521595,14.5006595687,171.6823253669,29.5876835404,11.2096388816,42.9250448019,97.8175152041,52.2405378826,12.0197067483,0.7882112193,2.7730569214,1.9259105004,28.0700919099,17.3289966657,57.2925008381,6.5733494163,3.9397417123,0.7498202995,0.0732560744,0.1547913199,0.1432863898,1.5124536183,1.1227270024,3.8773872931,56.4043355217,27.880254943,6.6775102745,0.3726159917,1.6925186463,1.024892078,18.756543589,10.4209250009,32.5072488082,13.5649643738,8.324588635,1.894122989,0.1549453907,0.3410780218,0.3173606155,2.5328687133,2.2163695286,8.1623927004,3.503448664,1.637446131,0.3700761441,0.0206354237,0.0928887514,0.056778337,1.325623876,0.6735551337,1.9810298542,17.7383632203,10.4447693668,2.3244611467,0.1666285891,0.4908631282,0.3831087337,3.9285322441,2.8883643753,10.7468449978
